id,name,smiles,miu,rho,cp,k_pred,k,value,mw
0,2-Nonanone,CCCCCCCC(=O)C ,0.969821143,0.818169877,2189.384073,0.153,0.134,460.2653648,142.242
1,Propylene Glycol Propyl Ether,CCCOCC(C)O ,1.490653132,0.872688707,2472.47167,0.14,0.129,449.1174106,118.176
2,1-Butanol,CCCCO,1.62528318,0.801860819,2486.284138,0.144,0.148,424.8219965,74.123
3,Acetophenone,CC(=O)C1=CC=CC=C1,1.255976522,1.021338306,1815.325943,0.161,0.132,459.7102645,120.151
4,2-Pentanol,CCCC(C)O,1.730477354,0.803409445,2825.468521,0.128,0.139,423.0939996,88.15
5,2-Butanol,CCC(C)O,1.631260498,0.799456119,2813.251747,0.124,0.14,430.4609936,74.123
6,3-Pentanol,CCC(CC)O,2.010743839,0.811691065,2944.356736,0.125,0.144,419.1557015,88.15
7,"N,N Diethyl Hydroxylamine",CCN(CC)O,1.927456969,0.862713004,2580.243586,0.128,0.13,415.6996568,89.138
8,3-Methyl 2-Butanol,CC(C)C(C)O,1.898182194,0.810914568,2872.646465,0.12,0.129,417.8495107,88.15
9,"2,6-Dimethyl-4-Heptanone",CC(C)CC(=O)CC(C)C,0.860124749,0.842732734,2060.148711,0.139,0.122,465.3190774,142.242
10,Phenyl Acetate,CC(=O)OC1=CC=CC=C1,1.644592393,1.071166674,1743.509721,0.149,0.129,439.3571555,136.15
11,Y-Nonanoic Lactone,CCCCCC1CCC(=O)O1,2.824772399,0.968155253,1890.100801,0.172,0.145,379.3789552,156.225
12,Cyclohexyl Methacrylate,CC(=C)C(=O)OC1CCCCC1,1.571978267,0.957193822,1774.824659,0.13,0.118,409.0658023,168.236
13,Cyclohexyl Acetate,CC(=O)OC1CCCCC1,1.407083713,0.969752744,1782.870792,0.134,0.122,433.5074799,142.198
14,Cyclohexyl Butyrate,CCCC(=O)OC1CCCCC1,1.712909667,0.931483333,1788.596422,0.139,0.126,411.6129878,170.252
15,Ethyl 4-Methylbenzoate,CCOC(=O)C1=CC=C(C=C1)C,1.704040733,1.020286828,1686.024164,0.143,0.149,424.4804809,164.204
16,Cuminaldehyde,CC(C)C1=CC=C(C=C1)C=O,1.611131207,0.977123015,1787.352847,0.148,0.137,422.28624,148.205
17,Octyl Octanoate,CCCCCCCCOC(=O)CCCCCCC,2.514353426,0.854126962,2042.948968,0.158,0.153,370.5317335,256.43
18,Dimethyl Malonate,COC(=O)CC(=O)OC,1.470759162,1.148096247,1741.369671,0.15,0.178,478.1047019,132.115
19,"1,4-Dichlorobutane",C(CCCl)CCl,1.019892779,1.132178493,1516.090215,0.166,0.125,482.6242468,127.014
20,Ethyl Acetoacetate,CCOC(=O)CC(=O)C,1.176821524,1.019857251,1941.10584,0.162,0.143,479.1872606,130.143
21,Diethyl Malonate,CCOC(=O)CC(=O)OCC,1.417772576,1.046890677,1769.094677,0.154,0.135,459.2927035,160.169
22,Ethyl Levulinate,CCOC(=O)CCC(=O)C,1.418761447,1.006224592,1964.48042,0.164,0.129,458.2011623,144.17
23,Isoamyl Isovalerate,CC(C)CCOC(=O)CC(C)C,1.003003456,0.844946369,1999.876872,0.131,0.114,446.1436703,172.268
24,Diethylene Glycol Monoethyl Ether Acetate,CCOCCOCCOC(=O)C,1.703832747,1.002217904,2054.440856,0.171,0.148,439.1452283,176.212
25,Ethyl Laurate,O=C(OCC)CCCCCCCCCCC,2.35,0.831,2029.372009,0.154,0.158,376.93462,228.376
